,perPrice,room,hall,restroom,houseSize,elevator,decorate,houseAge,SingelHouse,cAa,东,东北,东南,东西,北,南,南北,西,西北,西南
88,6033 ,2,1,1,2,0,2,0,0,2.2,0,0,0,0,0,1,0,0,0,0
89,9565 ,3,2,2,2,1,1,0,0,2.5,0,0,0,0,0,0,1,0,0,0
90,5769 ,3,2,2,3,1,2,2,0,1.8,0,0,0,0,0,1,0,0,0,0
91,11710 ,2,2,1,2,1,0,0,0,4.2,0,0,0,0,0,0,0,0,1,0
92,8416 ,3,2,2,3,1,1,2,1,1.8,0,0,0,0,0,0,1,0,0,0
93,11847 ,3,2,2,2,1,1,0,0,2.8,0,0,0,0,1,0,0,0,0,0
94,8146 ,4,3,4,4,0,0,1,0,1.2,0,0,0,0,0,1,0,0,0,0
95,8469 ,3,2,1,2,1,0,1,0,2.3,0,0,0,0,0,1,0,0,0,0
96,5000 ,3,2,2,3,1,1,0,0,1.6,0,0,0,0,0,1,0,0,0,0
97,10959 ,4,3,3,5,0,0,1,0,1.4,0,0,0,0,0,0,1,0,0,0
98,10909 ,4,2,3,4,0,2,1,0,1.9,0,0,0,0,0,0,1,0,0,0
99,7073 ,3,2,1,2,0,1,1,0,2.3,0,0,0,0,0,0,1,0,0,0
100,13333 ,3,2,2,2,1,2,1,0,2.1,0,0,0,0,0,1,0,0,0,0
101,6972 ,4,2,2,3,1,1,0,0,2.6,0,0,0,0,0,1,0,0,0,0
102,15385 ,3,2,3,4,0,0,2,1,3.3,0,0,0,0,0,1,0,0,0,0
103,7222 ,3,2,2,3,1,1,0,0,1.8,0,0,0,0,0,0,1,0,0,0
104,7619 ,3,2,2,3,0,1,0,0,3.8,0,0,0,0,0,1,0,0,0,0
105,15102 ,3,2,1,2,1,0,1,0,1.8,0,0,0,0,0,1,0,0,0,0
106,7000 ,3,2,2,3,1,1,0,1,2.6,0,0,0,0,0,1,0,0,0,0
107,6910 ,3,2,1,3,0,2,0,0,2.5,0,0,0,0,0,1,0,0,0,0
108,7238 ,3,2,2,3,1,2,1,1,1.2,0,0,0,0,0,0,1,0,0,0
109,10674 ,3,2,1,2,1,1,0,0,2.2,0,0,0,0,0,1,0,0,0,0
110,8966 ,2,2,1,2,1,1,0,0,2.2,0,0,0,0,0,0,1,0,0,0
111,6700 ,3,2,1,2,1,1,0,0,2.8,0,0,0,0,1,0,0,0,0,0
112,4600 ,3,2,2,3,0,2,0,0,1.6,0,0,0,0,0,0,1,0,0,0
113,9793 ,3,2,2,2,1,1,0,0,2.6,0,0,0,0,0,1,0,0,0,0
114,11500 ,3,2,2,3,1,1,0,0,2.8,0,0,0,0,0,1,0,0,0,0
115,6235 ,3,2,2,2,1,1,2,1,2.4,0,0,0,0,0,1,0,0,0,0
116,11011 ,2,2,1,2,1,0,0,0,2.2,0,0,0,0,0,1,0,0,0,0
117,12366 ,3,2,2,2,1,1,1,0,2.6,0,0,0,0,0,1,0,0,0,0
118,14958 ,4,2,2,3,1,1,1,0,3.0,0,0,0,0,0,1,0,0,0,0
119,9490 ,3,2,2,2,1,0,1,1,2.6,0,0,0,0,0,1,0,0,0,0
120,12800 ,4,2,4,5,0,0,2,0,3.3,0,0,0,0,1,0,0,0,0,0
121,10791 ,3,2,1,2,1,1,2,0,3.5,0,0,0,0,1,0,0,0,0,0
122,6600 ,3,2,2,3,1,1,1,1,1.7,0,0,0,0,1,0,0,0,0,0
123,10455 ,4,2,2,3,1,0,1,0,4.2,0,0,0,0,0,0,1,0,0,0
124,10625 ,3,2,2,2,1,0,1,1,4.2,0,0,0,0,0,1,0,0,0,0
125,10476 ,2,2,1,2,1,1,1,0,3.0,0,0,0,0,1,0,0,0,0,0
126,7420 ,3,2,2,3,1,1,1,1,1.8,0,0,0,0,0,0,1,0,0,0
127,6962 ,3,2,2,2,1,2,2,1,3.0,0,0,0,0,0,1,0,0,0,0
128,11423 ,3,2,2,2,1,0,1,0,2.8,0,0,0,0,0,1,0,0,0,0
129,7339 ,3,2,2,3,1,1,0,1,3.8,0,0,0,0,0,1,0,0,0,0
